Date,Open
2019-10-09 16:00:00,137.46
2019-10-10 16:00:00,138.49
2019-10-11 16:00:00,140.12
,139.69
,140.06
,140.79
,140.95
,139.76
,138.45
,138.97
,136.88
,139.39
,139.34
,144.4
,144.08
,143.52
,144.9
2019-11-01 16:00:00,144.26
2019-11-04 16:00:00,144.83
2019-11-05 16:00:00,144.97
2019-11-06 16:00:00,144.37
2019-11-07 16:00:00,143.84
2019-11-08 16:00:00,143.98
2019-11-11 16:00:00,145.34
2019-11-12 16:00:00,146.28
,146.74
,147.02
,148.93
,150.07
,150.88
,150.31
,149.4
,150.07
,150.0
,151.36
,152.33
,152.1
2019-12-02 16:00:00,151.81
2019-12-03 16:00:00,147.49
2019-12-04 16:00:00,150.14
2019-12-05 16:00:00,150.05
2019-12-06 16:00:00,150.99
2019-12-09 16:00:00,150.99
2019-12-10 16:00:00,151.29
2019-12-11 16:00:00,151.54
2019-12-12 16:00:00,151.65
,153.0
,155.11
,155.45
,154.3
,154.0
,157.35
,158.12
,157.48
,157.56
,159.45
,158.99
,156.77
2020-01-02 16:00:00,158.78
2020-01-03 16:00:00,158.32
2020-01-06 16:00:00,157.08
2020-01-07 16:00:00,159.32
2020-01-08 16:00:00,158.93
2020-01-09 16:00:00,161.84
2020-01-10 16:00:00,162.82
,161.76
,163.39
,162.62
,164.35
,167.42
,166.68
,167.4
,166.19
,167.51
,161.15
,163.78
,167.84
,174.05
,172.21
2020-02-03 16:00:00,170.43
2020-02-04 16:00:00,177.14
2020-02-05 16:00:00,184.03
2020-02-06 16:00:00,180.97
2020-02-07 16:00:00,182.85
2020-02-10 16:00:00,183.58
2020-02-11 16:00:00,190.65
2020-02-12 16:00:00,185.58
,183.08
,183.25
,185.61
,188.06
,186.95
,183.17
,167.77
,174.2
,169.71
,163.32
,152.41
2020-03-02 16:00:00,165.31
2020-03-03 16:00:00,173.8
2020-03-04 16:00:00,168.49
2020-03-05 16:00:00,166.05
2020-03-06 16:00:00,162.61
2020-03-09 16:00:00,151.0
2020-03-10 16:00:00,158.16
2020-03-11 16:00:00,157.13
2020-03-12 16:00:00,145.3
,147.5
,140.0
,140.0
,138.0
,142.77
,146.0
,137.01
,143.75
,148.91
,148.4
,151.75
,152.44
,159.4
2020-04-01 16:00:00,153.0
2020-04-02 16:00:00,151.86
2020-04-03 16:00:00,155.1
2020-04-06 16:00:00,160.32
2020-04-07 16:00:00,169.59
2020-04-08 16:00:00,165.67
2020-04-09 16:00:00,166.36
,164.35
,169.0
,171.2
,174.3
,179.5
,176.63
,173.5
,171.39
,174.11
,172.06
,176.59
,175.59
,173.22
,180.0
2020-05-01 16:00:00,175.8
2020-05-04 16:00:00,174.49
2020-05-05 16:00:00,180.62
2020-05-06 16:00:00,182.08
2020-05-07 16:00:00,184.17
2020-05-08 16:00:00,184.98
2020-05-11 16:00:00,183.15
2020-05-12 16:00:00,186.8
,182.55
,177.54
,179.06
,185.75
,185.03
,184.81
,185.4
,183.19
,186.34
,180.2
,180.74
,182.73
2020-06-01 16:00:00,182.54
2020-06-02 16:00:00,184.25
2020-06-03 16:00:00,184.82
2020-06-04 16:00:00,184.3
2020-06-05 16:00:00,182.62
2020-06-08 16:00:00,185.94
2020-06-09 16:00:00,188.0
2020-06-10 16:00:00,191.13
2020-06-11 16:00:00,193.13
2020-06-12 16:00:00,190.54
,184.58
,192.89
,195.03
,194.0
,198.59
,195.79
,202.09
,201.6
,197.8
,199.73
,195.78
,197.88
2020-07-01 16:00:00,203.14
2020-07-02 16:00:00,205.68
2020-07-06 16:00:00,208.83
2020-07-07 16:00:00,210.45
2020-07-08 16:00:00,210.07
2020-07-09 16:00:00,216.33
2020-07-10 16:00:00,213.62
,214.48
,206.13
,209.56
,205.4
,204.47
,205.0
,213.66
